param-0-nm,param-1-n,param-2-m,Rewrite-for-gen-real,Rewrite-for-gen-sys,Rewrite-for-gen-user,Rewrite-for-gen:etransitivity-for-sides-real,Rewrite-for-gen:etransitivity-for-sides-sys,Rewrite-for-gen:etransitivity-for-sides-user,Rewrite-for-gen:generalize-hyps-for-rewriting-real,Rewrite-for-gen:generalize-hyps-for-rewriting-sys,Rewrite-for-gen:generalize-hyps-for-rewriting-user,Rewrite-for-gen-skip-cbv-real,Rewrite-for-gen-skip-cbv-sys,Rewrite-for-gen-skip-cbv-user,Rewrite-lhs-for-regression-quadratic-real,Rewrite-lhs-for-regression-quadratic-sys,Rewrite-lhs-for-regression-quadratic-user,Rewrite-lhs-for-skip-cbv-regression-quadratic-real,Rewrite-lhs-for-skip-cbv-regression-quadratic-sys,Rewrite-lhs-for-skip-cbv-regression-quadratic-user,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,do-reify-rhs-with:notypeclasses-refine-real,do-reify-rhs-with:notypeclasses-refine-sys,do-reify-rhs-with:notypeclasses-refine-user,do-reify-rhs-with:reify-hint-real,do-reify-rhs-with:reify-hint-sys,do-reify-rhs-with:reify-hint-user,do-rewrite-with:refine-interp-rewrite-real,do-rewrite-with:refine-interp-rewrite-sys,do-rewrite-with:refine-interp-rewrite-user,do-rewrite-with:refine-trans-real,do-rewrite-with:refine-trans-sys,do-rewrite-with:refine-trans-user,do-rewrite-with:vm-cast-no-check-real,do-rewrite-with:vm-cast-no-check-sys,do-rewrite-with:vm-cast-no-check-user,final-cbv-real,final-cbv-sys,final-cbv-user,prove-Wf-real,prove-Wf-sys,prove-Wf-user,prove-Wf-with:refine-real,prove-Wf-with:refine-sys,prove-Wf-with:refine-user,prove-Wf-with:reflexivity-real,prove-Wf-with:reflexivity-sys,prove-Wf-with:reflexivity-user,prove-Wf-with:split-real,prove-Wf-with:split-sys,prove-Wf-with:split-user,prove-Wf-with:vm-compute-real,prove-Wf-with:vm-compute-sys,prove-Wf-with:vm-compute-user,reification-real,reification-sys,reification-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,rewriting-real,rewriting-sys,rewriting-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,vm-compute-and-unify-in-rewrite-real,vm-compute-and-unify-in-rewrite-sys,vm-compute-and-unify-in-rewrite-user
6,2,3,0.211,0.,0.211,0.,0.,0.,0.007,0.,0.007,0.194,0.003,0.19,0.211,0.,0.211,0.194,0.003,0.19,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.138,0.,0.138,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.011,0.,0.011,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.005,0.,0.005,0.152,0.,0.152,,,,,,,0.017,0.,0.017,0.156,0.,0.156,0.002,0.,0.002
7,1,7,0.128,0.,0.128,0.,0.,0.,0.007,0.,0.007,0.119,0.,0.119,0.128,0.,0.128,0.12,0.,0.119,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.066,0.,0.066,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.079,0.,0.079,0.269,0.,0.269,0.277,0.,0.277,0.012,0.,0.012,0.716,0.004,0.712,0.002,0.,0.002
7,7,1,0.123,0.,0.123,0.,0.,0.,0.007,0.,0.007,0.118,0.,0.117,0.124,0.,0.124,0.118,0.,0.118,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.074,0.,0.074,0.097,0.,0.097,0.114,0.,0.114,0.013,0.,0.013,0.243,0.,0.243,0.003,0.,0.003
8,1,8,0.124,0.,0.124,0.,0.,0.,0.008,0.,0.008,0.205,0.,0.205,0.125,0.,0.125,0.205,0.,0.205,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.139,0.,0.139,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.011,0.,0.011,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.005,0.,0.005,0.153,0.,0.153,0.311,0.,0.311,0.32,0.003,0.316,0.017,0.,0.017,0.953,0.,0.953,0.003,0.,0.003
8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117,0.,0.117,0.121,0.,0.121,,,,0.322,0.,0.322,,,
8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,0.,0.084,0.089,0.,0.089,,,,0.218,0.,0.218,,,
8,8,1,0.127,0.,0.127,0.,0.,0.,0.015,0.,0.015,0.126,0.,0.126,0.128,0.,0.128,0.126,0.,0.126,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.062,0.,0.062,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.075,0.,0.075,0.15,0.,0.15,0.18,0.,0.181,0.014,0.,0.014,0.363,0.,0.363,0.003,0.,0.003
9,1,9,0.201,0.,0.201,0.,0.,0.,0.007,0.,0.007,0.119,0.,0.118,0.202,0.,0.201,0.119,0.,0.119,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.129,0.,0.129,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.01,0.,0.01,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.004,0.,0.004,0.143,0.,0.143,0.498,0.,0.498,0.5,0.,0.5,0.016,0.,0.016,1.358,0.,1.358,0.003,0.,0.003
9,3,3,0.126,0.007,0.118,0.,0.,0.,0.007,0.,0.007,0.118,0.,0.118,0.126,0.007,0.118,0.118,0.,0.118,,,,,,,,,,,,,,,,,,,0.005,0.003,0.002,0.058,0.,0.057,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.077,0.003,0.073,0.128,0.,0.128,0.128,0.,0.128,0.013,0.003,0.009,0.306,0.,0.306,0.002,0.002,0.
9,9,1,0.123,0.,0.123,0.,0.,0.,0.007,0.,0.007,0.116,0.,0.116,0.123,0.,0.123,0.116,0.,0.116,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.059,0.,0.059,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.073,0.,0.073,0.227,0.,0.227,0.272,0.,0.271,0.013,0.,0.013,0.512,0.,0.512,0.003,0.,0.003
10,1,10,0.124,0.,0.124,0.,0.,0.,0.007,0.,0.007,0.117,0.,0.117,0.125,0.,0.125,0.117,0.,0.117,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.06,0.,0.06,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002,0.074,0.,0.074,0.89,0.003,0.886,0.875,0.,0.875,0.014,0.,0.014,1.879,0.,1.879,0.003,0.,0.003
10,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.,0.27,0.266,0.,0.266,,,,0.691,0.,0.691,,,
10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169,0.,0.169,0.176,0.,0.176,,,,0.378,0.,0.378,,,
10,10,1,0.125,0.,0.125,0.,0.,0.,0.007,0.,0.007,0.118,0.,0.117,0.125,0.,0.125,0.118,0.,0.118,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.06,0.,0.06,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.073,0.,0.073,0.337,0.,0.337,0.394,0.,0.394,0.015,0.,0.015,0.71,0.003,0.706,0.004,0.,0.004
11,1,11,0.127,0.,0.127,0.,0.,0.,0.007,0.,0.007,0.126,0.,0.126,0.128,0.,0.128,0.127,0.,0.127,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.064,0.,0.064,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.078,0.,0.078,1.24,0.,1.24,1.245,0.011,1.232,0.02,0.,0.02,2.523,0.,2.523,0.009,0.,0.009
11,11,1,0.128,0.,0.128,0.,0.,0.,0.007,0.,0.007,0.118,0.,0.118,0.129,0.,0.129,0.119,0.,0.119,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.074,0.,0.074,0.469,0.,0.469,0.569,0.008,0.561,0.015,0.,0.015,0.924,0.,0.924,0.004,0.,0.004
12,1,12,0.125,0.,0.125,0.,0.,0.,0.007,0.,0.007,0.114,0.,0.114,0.126,0.,0.126,0.114,0.,0.114,0.005,0.,0.005,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.075,0.,0.075,1.924,0.,1.924,1.974,0.003,1.97,0.014,0.,0.014,3.422,0.004,3.418,0.004,0.,0.004
12,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.547,0.,0.547,0.63,0.,0.63,,,,1.046,0.,1.046,,,
12,3,4,0.126,0.,0.126,0.,0.,0.,0.007,0.,0.007,0.116,0.,0.116,0.126,0.,0.126,0.117,0.,0.116,0.002,0.,0.001,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.075,0.,0.075,0.347,0.,0.347,0.35,0.,0.349,0.014,0.,0.014,0.667,0.,0.667,0.003,0.,0.003
12,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303,0.,0.303,0.307,0.,0.307,,,,0.58,0.,0.58,,,
12,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,0.,0.308,0.326,0.,0.326,,,,0.619,0.,0.619,,,
12,12,1,0.127,0.,0.127,0.,0.,0.,0.007,0.,0.007,0.117,0.,0.117,0.127,0.,0.127,0.117,0.,0.117,0.002,0.,0.002,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.075,0.,0.075,0.653,0.,0.653,0.818,0.,0.818,0.016,0.,0.016,1.28,0.011,1.268,0.004,0.,0.004
13,1,13,0.126,0.,0.126,0.,0.,0.,0.007,0.,0.007,0.122,0.003,0.118,0.126,0.,0.126,0.122,0.003,0.118,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.075,0.,0.075,3.028,0.007,3.02,3.007,0.003,3.004,0.014,0.,0.014,4.32,0.,4.32,0.004,0.,0.004
13,13,1,0.128,0.,0.128,0.,0.,0.,0.008,0.,0.008,0.117,0.,0.117,0.128,0.,0.128,0.118,0.,0.117,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.075,0.,0.075,0.907,0.,0.907,1.122,0.,1.122,0.015,0.,0.015,1.645,0.,1.645,0.005,0.,0.005
14,1,14,0.124,0.,0.124,0.,0.,0.,0.007,0.,0.007,,,,0.125,0.,0.125,,,,0.006,0.,0.005,,,,,,,,,,,,,,,,0.,0.,0.,0.06,0.,0.06,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.073,0.,0.073,4.637,0.,4.632,4.71,0.003,4.706,0.014,0.,0.014,5.559,0.011,5.545,0.004,0.,0.004
14,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.057,0.,1.057,1.07,0.003,1.066,,,,1.718,0.,1.718,,,
14,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528,0.,0.528,0.575,0.,0.575,,,,0.975,0.,0.975,,,
14,14,1,0.13,0.,0.13,0.,0.,0.,0.007,0.,0.007,,,,0.13,0.,0.13,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,0.,0.,0.,0.062,0.,0.062,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.01,0.,0.01,0.001,0.,0.001,0.,0.,0.,0.005,0.,0.005,0.001,0.,0.001,0.075,0.,0.075,1.165,0.003,1.159,1.549,0.003,1.545,0.018,0.,0.018,2.174,0.,2.174,0.005,0.,0.005
15,1,15,0.129,0.,0.129,0.,0.,0.,0.007,0.,0.007,0.118,0.003,0.114,0.129,0.,0.129,0.119,0.003,0.114,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.074,0.,0.074,7.145,0.003,7.142,7.304,0.,7.304,0.018,0.,0.018,7.054,0.007,7.046,0.008,0.,0.008
15,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.,0.83,0.848,0.,0.848,,,,1.302,0.,1.302,,,
15,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.618,0.004,0.614,0.647,0.,0.647,,,,1.02,0.,1.02,,,
15,15,1,0.13,0.,0.13,0.,0.,0.,0.007,0.,0.007,0.118,0.,0.118,0.13,0.,0.13,0.118,0.,0.118,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.063,0.,0.063,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.076,0.,0.076,1.597,0.,1.596,2.063,0.,2.063,0.017,0.,0.017,2.722,0.003,2.718,0.006,0.,0.006
16,1,16,0.127,0.,0.127,0.,0.,0.,0.007,0.,0.007,0.119,0.,0.118,0.127,0.,0.127,0.119,0.,0.119,,,,,,,,,,,,,0.003,0.,0.003,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.075,0.,0.075,11.203,0.015,11.187,11.155,0.015,11.138,0.015,0.,0.015,8.699,0.003,8.695,0.005,0.,0.005
16,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.968,0.008,1.96,1.946,0.,1.946,,,,2.593,0.,2.593,,,
16,4,4,0.126,0.,0.126,0.,0.,0.,0.007,0.,0.007,0.12,0.003,0.116,0.126,0.,0.126,0.12,0.003,0.116,,,,,,,,,,,,,0.001,0.,0.001,,,,0.,0.,0.,0.06,0.,0.06,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.074,0.,0.074,0.856,0.,0.856,0.866,0.,0.866,0.016,0.,0.016,1.255,0.,1.255,0.005,0.,0.005
