param 0-nm,param 1-n,param 2-m,param 3-input-size,param 4-output-size,param 5-num-rewrites,param kind,param n,Rewrite_for_gen real,Rewrite_for_gen sys,Rewrite_for_gen user,Rewrite_for_gen:etransitivity_for_sides real,Rewrite_for_gen:etransitivity_for_sides sys,Rewrite_for_gen:etransitivity_for_sides user,Rewrite_for_gen:generalize_hyps_for_rewriting real,Rewrite_for_gen:generalize_hyps_for_rewriting sys,Rewrite_for_gen:generalize_hyps_for_rewriting user,Rewrite_for_gen_skip_cbv real,Rewrite_for_gen_skip_cbv sys,Rewrite_for_gen_skip_cbv user,Rewrite_lhs_for-regression-quadratic real,Rewrite_lhs_for-regression-quadratic sys,Rewrite_lhs_for-regression-quadratic user,Rewrite_lhs_for_skip_cbv-regression-quadratic real,Rewrite_lhs_for_skip_cbv-regression-quadratic sys,Rewrite_lhs_for_skip_cbv-regression-quadratic user,autorewrite-regression-cubic real,autorewrite-regression-cubic sys,autorewrite-regression-cubic user,cbn-regression-cubic real,cbn-regression-cubic sys,cbn-regression-cubic user,cbv-regression-quadratic real,cbv-regression-quadratic sys,cbv-regression-quadratic user,cps+cbn-regression-quadratic real,cps+cbn-regression-quadratic sys,cps+cbn-regression-quadratic user,cps+cbv-regression-quadratic real,cps+cbv-regression-quadratic sys,cps+cbv-regression-quadratic user,cps+lazy-regression-quadratic real,cps+lazy-regression-quadratic sys,cps+lazy-regression-quadratic user,cps+native_compute native_compute compilation real,cps+native_compute native_compute conversion to native code real,cps+native_compute native_compute evaluation real,cps+native_compute native_compute reification real,cps+native_compute-regression-quadratic real,cps+native_compute-regression-quadratic sys,cps+native_compute-regression-quadratic user,cps+simpl-regression-quadratic real,cps+simpl-regression-quadratic sys,cps+simpl-regression-quadratic user,cps+vm_compute-regression-quadratic real,cps+vm_compute-regression-quadratic sys,cps+vm_compute-regression-quadratic user,do_reify_rhs_with:notypeclasses_refine real,do_reify_rhs_with:notypeclasses_refine sys,do_reify_rhs_with:notypeclasses_refine user,do_reify_rhs_with:reify_hint real,do_reify_rhs_with:reify_hint sys,do_reify_rhs_with:reify_hint user,do_rewrite_with:refine_interp_rewrite real,do_rewrite_with:refine_interp_rewrite sys,do_rewrite_with:refine_interp_rewrite user,do_rewrite_with:refine_trans real,do_rewrite_with:refine_trans sys,do_rewrite_with:refine_trans user,do_rewrite_with:vm_cast_no_check real,do_rewrite_with:vm_cast_no_check sys,do_rewrite_with:vm_cast_no_check user,final_cbv real,final_cbv sys,final_cbv user,lazy-regression-quadratic real,lazy-regression-quadratic sys,lazy-regression-quadratic user,native_compute(1) native_compute compilation real,native_compute(1) native_compute conversion to native code real,native_compute(1) native_compute evaluation real,native_compute(1) native_compute reification real,native_compute(1)-regression-quadratic real,native_compute(1)-regression-quadratic sys,native_compute(1)-regression-quadratic user,native_compute(2) native_compute compilation real,native_compute(2) native_compute conversion to native code real,native_compute(2) native_compute evaluation real,native_compute(2) native_compute reification real,native_compute(2)-regression-quadratic real,native_compute(2)-regression-quadratic sys,native_compute(2)-regression-quadratic user,prove_Wf real,prove_Wf sys,prove_Wf user,prove_Wf_with:refine real,prove_Wf_with:refine sys,prove_Wf_with:refine user,prove_Wf_with:reflexivity real,prove_Wf_with:reflexivity sys,prove_Wf_with:reflexivity user,prove_Wf_with:split real,prove_Wf_with:split sys,prove_Wf_with:split user,prove_Wf_with:vm_compute real,prove_Wf_with:vm_compute sys,prove_Wf_with:vm_compute user,reification real,reification sys,reification user,rewrite!-regression-cubic real,rewrite!-regression-cubic sys,rewrite!-regression-cubic user,rewrite_strat(bottomup)-regression-cubic real,rewrite_strat(bottomup)-regression-cubic sys,rewrite_strat(bottomup)-regression-cubic user,rewrite_strat(bottomup)-regression-exponential real,rewrite_strat(bottomup)-regression-exponential sys,rewrite_strat(bottomup)-regression-exponential user,"rewrite_strat(bottomup,bottomup)-regression-exponential real","rewrite_strat(bottomup,bottomup)-regression-exponential sys","rewrite_strat(bottomup,bottomup)-regression-exponential user",rewrite_strat(topdown)-regression-cubic real,rewrite_strat(topdown)-regression-cubic sys,rewrite_strat(topdown)-regression-cubic user,rewrite_strat(topdown)-regression-exponential real,rewrite_strat(topdown)-regression-exponential sys,rewrite_strat(topdown)-regression-exponential user,"rewrite_strat(topdown,bottomup)-regression-exponential real","rewrite_strat(topdown,bottomup)-regression-exponential sys","rewrite_strat(topdown,bottomup)-regression-exponential user",rewriting real,rewriting sys,rewriting user,setoid_rewrite-regression-cubic real,setoid_rewrite-regression-cubic sys,setoid_rewrite-regression-cubic user,simpl-regression-cubic real,simpl-regression-cubic sys,simpl-regression-cubic user,ssr-rewrite!-regression-cubic real,ssr-rewrite!-regression-cubic sys,ssr-rewrite!-regression-cubic user,vm_compute-regression-quadratic real,vm_compute-regression-quadratic sys,vm_compute-regression-quadratic user,vm_compute_and_unify_in_rewrite real,vm_compute_and_unify_in_rewrite sys,vm_compute_and_unify_in_rewrite user
6,2,3,,,,LiftLetsMap,,0.192,0.,0.192,0.,0.,0.,0.008,0.,0.008,0.186,0.,0.186,0.192,0.,0.192,0.187,0.,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.121,0.,0.121,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.011,0.,0.011,0.001,0.,0.,0.,0.,0.,0.003,0.,0.003,0.005,0.,0.005,0.134,0.,0.134,,,,,,,,,,,,,,,,,,,,,,0.016,0.,0.016,0.145,0.,0.145,,,,,,,,,,0.002,0.,0.002
7,1,7,,,,LiftLetsMap,,0.139,0.,0.139,0.,0.,0.,0.013,0.,0.013,0.131,0.003,0.127,0.14,0.,0.14,0.131,0.003,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.072,0.,0.072,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.086,0.,0.085,,,,,,,,,,0.261,0.003,0.256,,,,,,,0.26,0.004,0.256,0.013,0.,0.013,0.698,0.,0.698,,,,,,,,,,0.002,0.,0.002
7,7,1,,,,LiftLetsMap,,0.13,0.,0.13,0.,0.,0.,0.008,0.,0.008,0.124,0.,0.124,0.13,0.,0.13,0.124,0.,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.074,0.,0.074,,,,,,,,,,0.084,0.,0.083,,,,,,,0.09,0.,0.09,0.019,0.,0.019,0.232,0.,0.232,,,,,,,,,,0.008,0.,0.008
8,1,8,,,,LiftLetsMap,,0.126,0.,0.126,0.,0.,0.,0.007,0.,0.007,,,,0.126,0.,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.064,0.,0.064,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.077,0.,0.077,,,,,,,,,,0.288,0.,0.287,,,,,,,0.287,0.,0.287,0.014,0.,0.014,0.908,0.,0.907,,,,,,,,,,0.002,0.,0.002
8,2,4,,,,LiftLetsMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,0.,0.108,,,,,,,0.117,0.,0.117,,,,0.306,0.,0.305,,,,,,,,,,,,
8,4,2,,,,LiftLetsMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.,0.074,,,,,,,0.08,0.,0.08,,,,0.21,0.,0.21,,,,,,,,,,,,
8,8,1,,,,LiftLetsMap,,0.13,0.,0.13,0.,0.,0.,0.008,0.,0.008,,,,0.13,0.,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.065,0.,0.065,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.01,0.,0.01,0.003,0.,0.003,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.078,0.,0.078,,,,,,,,,,0.127,0.,0.126,,,,,,,0.14,0.,0.14,0.016,0.,0.016,0.34,0.003,0.336,,,,,,,,,,0.003,0.,0.003
9,1,9,,,,LiftLetsMap,,0.204,0.,0.204,0.,0.,0.,0.008,0.,0.008,0.119,0.,0.119,0.204,0.,0.204,0.12,0.,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.131,0.,0.131,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.012,0.,0.012,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.005,0.,0.005,0.144,0.,0.144,,,,,,,,,,0.45,0.,0.45,,,,,,,0.458,0.003,0.454,0.018,0.,0.018,1.299,0.003,1.295,,,,,,,,,,0.003,0.,0.003
9,3,3,,,,LiftLetsMap,,0.144,0.,0.144,0.,0.,0.,0.015,0.,0.015,0.125,0.,0.125,0.145,0.,0.145,0.125,0.,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.073,0.,0.073,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002,0.087,0.,0.087,,,,,,,,,,0.113,0.,0.113,,,,,,,0.116,0.,0.116,0.015,0.,0.015,0.291,0.,0.291,,,,,,,,,,0.003,0.,0.003
9,9,1,,,,LiftLetsMap,,0.133,0.,0.133,0.,0.,0.,0.008,0.,0.008,0.12,0.,0.12,0.133,0.,0.133,0.121,0.,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.062,0.,0.062,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.014,0.,0.014,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.076,0.,0.076,,,,,,,,,,0.181,0.003,0.178,,,,,,,0.203,0.,0.203,0.021,0.,0.021,0.482,0.,0.482,,,,,,,,,,0.004,0.,0.004
10,1,10,,,,LiftLetsMap,,0.123,0.,0.123,0.,0.,0.,0.008,0.,0.008,0.117,0.,0.117,0.124,0.,0.123,0.117,0.,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.06,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.074,0.,0.074,,,,,,,,,,,,,,,,,,,0.764,0.,0.764,0.014,0.,0.014,1.785,0.,1.783,,,,,,,,,,0.003,0.,0.003
10,2,5,,,,LiftLetsMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237,0.,0.237,,,,0.653,0.,0.652,,,,,,,,,,,,
10,5,2,,,,LiftLetsMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,0.,0.147,,,,0.352,0.,0.352,,,,,,,,,,,,
10,10,1,,,,LiftLetsMap,,0.125,0.,0.125,0.,0.,0.,0.009,0.,0.009,0.12,0.,0.12,0.126,0.,0.126,0.12,0.,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.061,0.,0.061,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.074,0.,0.074,,,,,,,,,,,,,,,,,,,0.279,0.,0.278,0.014,0.,0.014,0.68,0.,0.68,,,,,,,,,,0.004,0.,0.004
11,1,11,,,,LiftLetsMap,,0.127,0.,0.126,0.,0.,0.,0.008,0.,0.008,,,,0.127,0.,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.063,0.,0.063,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.076,0.,0.076,,,,,,,,,,1.021,0.,1.021,,,,,,,1.037,0.003,1.033,0.015,0.,0.015,2.392,0.,2.389,,,,,,,,,,0.003,0.,0.003
11,11,1,,,,LiftLetsMap,,0.13,0.,0.13,0.,0.,0.,0.008,0.,0.008,,,,0.13,0.,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.065,0.,0.065,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.078,0.,0.078,,,,,,,,,,0.335,0.,0.335,,,,,,,0.386,0.,0.386,0.015,0.,0.015,0.895,0.,0.894,,,,,,,,,,0.004,0.,0.004
12,1,12,,,,LiftLetsMap,,0.132,0.,0.131,0.,0.,0.,0.008,0.,0.008,0.123,0.,0.123,0.132,0.,0.132,0.124,0.,0.124,,,,,,,,,,0.005,0.,0.004,,,,,,,,,,,,,,,,,,,,0.,0.,0.,0.063,0.,0.063,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,,,,,,,,,,,,,,,,,,0.008,0.,0.008,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.076,0.,0.076,,,,,,,,,,1.561,0.,1.556,,,,,,,1.545,0.,1.545,0.019,0.,0.019,,,,,,,,,,,,,0.007,0.,0.007
